90.58,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,12.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,9
89.92,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,12.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,1,8
89.75,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,7.8
89.0,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,11.0,0.0,0.0,2.0,0,0,1,0,0,1,0,0,0,0,0,7.5
88.83,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,12.0,0.0,0.0,2.0,0,0,1,0,0,0,0,0,0,0,1,9
88.83,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,11.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,0,0,0,8
88.75,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,11.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,8
88.67,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,3.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,8
88.42,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,3.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,8
88.25,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,10.0,0.0,0.0,4.0,0,0,1,0,0,1,0,0,0,0,0,8
88.08,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,10.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0,8
